AboutActivity.java saved 	AboutActivity.java saved 
support widget 	support widget 
toolbar 	toolbar 
android view 	android view 
view 	view 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting 	setting 
android bundle 	android bundle 
android support 	android support 
content 	content 
context compat 	context compat 
android support 	android support 
widget 	widget 
toolbar android 	toolbar android 
view view 	view view 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech glide 	bumptech glide 
load 	load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity xiecc 	activity xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
android 	android 
bundle android 	bundle android 
support content 	support content 
context 	context 
compat android 	compat android 
support 	support 
widget toolbar 	widget toolbar 
android view 	android view 
view 	view 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
android bundle 	android bundle 
android support 	android support 
content 	content 
context compat 	context compat 
android support 	android support 
widget 	widget 
toolbar android 	toolbar android 
view view 	view view 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech 	bumptech 
glide load 	glide load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity xiecc 	activity xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
android 	android 
bundle android 	bundle android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
widget toolbar 	widget toolbar 
android view 	android view 
view 	view 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
create content 	create content 
view find 	view find 
view 	view 
title navigation 	title navigation 
icon resources 	icon resources 
drawable 	drawable 
support action 	support action 
bar 	bar 
navigation click 	navigation click 
listener status 	listener status 
bar 	bar 
color background 	color background 
color color 	color color 
status 	status 
bar color 	bar color 
fragment manager 	fragment manager 
begin 	begin 
transaction replace 	transaction replace 
fragment commit 	fragment commit 
created 	created 
hugo AboutFragment.java 	hugo AboutFragment.java 
introduction 	introduction 
current version 	current version 
share star 	share star 
encourage 	encourage 
blog github 	blog github 
email check 	email check 
introduction 	introduction 
version check 	version check 
version share 	version share 
star 	star 
encounrage bolg 	encounrage bolg 
github email 	github email 
saved 	saved 
instance state 	instance state 
preference 	preference 
sharing intent 	sharing intent 
uri intent 	uri intent 
view 	view 
info manager 	info manager 
clip data 	clip data 
clip 	clip 
data clipboard 	data clipboard 
manager context 	manager context 
dialog 	dialog 
intent uri 	intent uri 
bundle dialog 	bundle dialog 
preference 	preference 
preference preference 	preference preference 
fragment 	fragment 
snackbar alert 	snackbar alert 
dialog view 	dialog view 
check 	check 
version android 	version android 
content clip 	content clip 
data 	data 
android content 	android content 
clipboard manager 	clipboard manager 
android 	android 
content context 	content context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent 	intent 
android net 	android net 
uri android 	uri android 
bundle 	bundle 
android preference 	android preference 
dialog preference 	dialog preference 
android 	android 
preference preference 	preference preference 
android preference 	android preference 
preference 	preference 
fragment android 	fragment android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support 	support 
app alert 	app alert 
dialog android 	dialog android 
view 	view 
view xiecc 	view xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
common check 	common check 
version 	version 
xiecc see 	xiecc see 
weather common 	weather common 
android 	android 
content clip 	content clip 
data 	data 
android content 	android content 
clipboard manager 	clipboard manager 
android 	android 
content context 	content context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent android 	intent android 
net 	net 
uri android 	uri android 
bundle android 	bundle android 
preference 	preference 
dialog preference 	dialog preference 
android 	android 
preference preference 	preference preference 
android preference 	android preference 
preference 	preference 
fragment android 	fragment android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
common check 	common check 
version 	version 
xiecc see 	xiecc see 
weather common 	weather common 
android 	android 
content clip 	content clip 
data android 	data android 
content 	content 
clipboard manager 	clipboard manager 
android content 	android content 
context 	context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent android 	intent android 
net 	net 
uri android 	uri android 
bundle android 	bundle android 
preference 	preference 
dialog preference 	dialog preference 
android preference 	android preference 
preference 	preference 
android preference 	android preference 
preference 	preference 
fragment android 	fragment android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
xiecc see 	xiecc see 
weather 	weather 
common check 	common check 
version 	version 
xiecc see 	xiecc see 
weather common 	weather common 
android 	android 
content clip 	content clip 
data android 	data android 
content 	content 
clipboard manager 	clipboard manager 
android content 	android content 
context 	context 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net 	net 
uri android 	uri android 
bundle android 	bundle android 
preference 	preference 
dialog preference 	dialog preference 
android preference 	android preference 
preference 	preference 
android preference 	android preference 
preference fragment 	preference fragment 
android 	android 
support design 	support design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
xiecc see 	xiecc see 
weather 	weather 
common check 	common check 
version xiecc 	version xiecc 
see 	see 
weather common 	weather common 
android content 	android content 
clip 	clip 
data android 	data android 
content 	content 
clipboard manager 	clipboard manager 
android content 	android content 
context 	context 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
bundle android 	bundle android 
preference dialog 	preference dialog 
preference 	preference 
android preference 	android preference 
preference 	preference 
android preference 	android preference 
preference fragment 	preference fragment 
android 	android 
support design 	support design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
view view 	view view 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather 	weather 
common check 	common check 
version xiecc 	version xiecc 
see 	see 
weather common 	weather common 
android content 	android content 
clip 	clip 
data android 	data android 
content clipboard 	content clipboard 
manager 	manager 
android content 	android content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
bundle android 	bundle android 
preference dialog 	preference dialog 
preference 	preference 
android preference 	android preference 
preference android 	preference android 
preference 	preference 
preference fragment 	preference fragment 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
view view 	view view 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather common 	weather common 
check 	check 
version xiecc 	version xiecc 
see weather 	see weather 
common 	common 
android content 	android content 
clip 	clip 
data android 	data android 
content clipboard 	content clipboard 
manager 	manager 
android content 	android content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content intent 	content intent 
android 	android 
net uri 	net uri 
android bundle 	android bundle 
android 	android 
preference dialog 	preference dialog 
preference 	preference 
android preference 	android preference 
preference android 	preference android 
preference 	preference 
preference fragment 	preference fragment 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android view 	android view 
view 	view 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather common 	weather common 
check 	check 
version xiecc 	version xiecc 
see weather 	see weather 
common 	common 
android content 	android content 
clip data 	clip data 
android 	android 
content clipboard 	content clipboard 
manager android 	manager android 
content 	content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content intent 	content intent 
android 	android 
net uri 	net uri 
android bundle 	android bundle 
android 	android 
preference dialog 	preference dialog 
preference android 	preference android 
preference 	preference 
preference android 	preference android 
preference preference 	preference preference 
fragment 	fragment 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android view 	android view 
view 	view 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather common 	weather common 
check version 	check version 
xiecc 	xiecc 
see weather 	see weather 
common 	common 
android content 	android content 
clip data 	clip data 
android 	android 
content clipboard 	content clipboard 
manager android 	manager android 
content 	content 
context android 	context android 
content dialog 	content dialog 
android 	android 
content intent 	content intent 
android net 	android net 
uri 	uri 
android bundle 	android bundle 
android 	android 
preference dialog 	preference dialog 
preference android 	preference android 
preference 	preference 
preference android 	preference android 
