AboutActivity.java saved 	abspath.c path 
domain 	ancestor constructed fake 
setting android 	ancestor postimage 
bundle 	patch state attempt 
android support 	threeway merge 
content context 	index path temporary 
compat 	index list 
android support 	paths needed way 
widget toolbar 	fallback user 
android 	review extra care 
view view 	spot mismerges 
bumptech glide 	wrong depending 
glide 	picked orig may 
bumptech glide 	wildly different 
load engine 	wildly different changes 
disk 	parts patch 
cache strategy 	touch recursive ends 
xiecc 	canceling saying 
see weather 	reverted changes commits 
xiecc see 	current index 
weather 	state msg commit 
activity xiecc 	message state 
see weather 	author name state 
modules 	author email 
domain setting 	state author date 
android bundle 	author information 
android 	validates state resuming 
support content 	msg authorship 
context compat 	fields must filled 
android 	interactively prompt 
support widget 	user whether 
toolbar 	current patch applied 
android view 	returns user 
view bumptech 	chooses apply patch 
glide 	user chooses 
glide bumptech 	skip translators make 
glide load 	sure include 
engine 	translation program accept 
disk cache 	english input 
strategy xiecc 	point applies queued 
see 	mail resume 
weather xiecc 	resuming msg authorship 
see weather 	fields well 
activity 	state directory patch 
xiecc see 	file used 
weather 	applying patch committing 
modules domain 	mail skipped 
setting android 	applying patch earlier 
bundle 	merging result 
android support 	may produced 
content context 	rebasing mode caller 
compat 	take care 
android support 	housekeeping resume current 
widget toolbar 	session patch 
android 	application failure user 
view view 	hard work 
bumptech glide 	patch application trust 
glide 	commit user 
bumptech glide 	index working performs 
load 	checkout fast 
engine disk 	forward head remote 
cache strategy 	reset unmerged 
xiecc 	entries discarded returns 
see weather 	success failure 
xiecc see 	merges index index 
weather 	stat info 
activity xiecc 	take precedence merged 
see weather 	returns success 
modules 	failure clean 
domain setting 	index without touching 
android bundle 	entries modified 
android 	head remote resets 
support content 	rerere merge 
context 	resolution metadata resume 
compat android 	current session 
support widget 	skipping current patch 
toolbar 	returns safe 
android view 	reset head orig 
view bumptech 	head otherwise 
glide 	safe reset head 
glide bumptech 	git previously 
glide load 	failed index dirty 
engine 	head moved 
disk cache 	since git previously 
strategy xiecc 	failed aborts 
see 	current session safe 
weather xiecc 	parse options 
see 	callback validates 
weather activity 	sets opt patch 
xiecc see 	format corresponding 
weather 	arg ensure valid 
modules domain 	committer ident 
setting android 	constructed user error 
bundle 	feed patches 
android support 	session progress mbox 
content context 	path provided 
compat 	command line stdin 
android support 	tty user 
widget toolbar 	trying feed patch 
android 	standard input 
view view 	somewhat unreliable stdin 
bumptech 	could dev 
glide glide 	example caller intend 
bumptech glide 	feed patch 
load 	wanted unattended 
engine disk 	handle stray state 
cache strategy 	directory independent 
xiecc 	run rebasing caller 
see weather 	take care 
xiecc see 	stray directories annotate.c 
weather 	argc argv 
activity xiecc 	prefix args argv 
see 	pushl argv 
weather modules 	push cmd blame 
domain setting 	git annotate 
android 	builtin copyright ryan 
bundle android 	anderson apple-common-crypto.h 
support content 	inlen err encoder 
context 	input output 
compat android 	length inlen err 
support widget 	decoder input 
toolbar 	output length sec 
android view 	encode transform 
view bumptech 	create git 
glide 	error check data 
glide bumptech 	create sec 
glide 	transform attribute git 
load engine 	error check 
disk cache 	sec transform execute 
strategy 	git error 
xiecc see 	check data length 
weather xiecc 	data bytes 
see 	range make release 
weather activity 	release release 
xiecc see 	strlen sec decode 
weather 	transform create 
modules domain 	git error check 
setting android 	data create 
bundle 	sec transform attribute 
android support 	git error 
content 	check sec transform 
context compat 	execute git 
android support 	error check 
widget 	data length data 
toolbar android 	bytes range 
view view 	make release release 
bumptech 	release strlen 
glide glide 	suppress inclusion conflicting 
bumptech glide 	openssl functions 
load 	apple type conflicts 
engine disk 	config apple 
cache strategy 	lion newer apply.c 
xiecc 	prefix prefix 
see weather 	length newfd unidiff 
xiecc 	zero known 
see weather 	check index update 
activity xiecc 	index cached 
see 	diffstat numstat summary 
weather modules 	check apply 
domain setting 	apply reverse apply 
android 	reject apply 
bundle android 	verbosely allow 
support content 	overlap threeway paths 
context 	fake ancestor 
compat android 	line termination context 
support widget 	apply usage 
toolbar 	whitespace error squelch 
android view 	whitespace errors 
view 	applied fixing patch 
bumptech glide 	input file 
glide bumptech 	root read stdin 
glide 	options option 
load engine 	option whitespace option 
disk cache 	max change 
strategy 	max len linenr 
xiecc see 	leading trailing 
weather xiecc 	oldpos oldlines newpos 
see 	newlines patch 
weather activity 	size linenr 
xiecc see 	next name old 
weather 	name def 
modules domain 	name old mode 
setting 	mode rejected 
android bundle 	rule lines added 
android support 	lines deleted 
content 	score fragments result 
context compat 	resultsize old 
android support 	sha prefix sha 
widget 	prefix next 
toolbar android 	threeway stage list 
view view 	next patch 
bumptech 	list next len 
glide glide 	buf len 
bumptech glide 	alloc line allocated 
load 	line table 
engine disk 	len last last 
cache 	result img 
strategy xiecc 	bol len 
see weather 	flag image buf 
xiecc 	len prepare 
see weather 	linetable next image 
activity xiecc 	output fmt 
see 	patch buffer size 
weather modules 	len str 
domain setting 	name namelen terminate 
android 	name line 
bundle android 	def name line 
support content 	len line 
context 	len line len 
compat android 	date line 
support 	len time line 
widget toolbar 	len line 
android view 	len line len 
view 	end line 
bumptech glide 	def end terminate 
glide bumptech 	len start 
glide 	deflen ret 
load engine 	line def terminate 
disk cache 	name line 
strategy 	def len date 
xiecc see 	len name 
weather xiecc 	cnt nameline name 
see 	val nameline 
weather activity 	stamp regexp colon 
xiecc 	stamp zoneoffset 
see weather 	hourminute status first 
modules domain 	second patch 
setting 	name first name 
android bundle 	line patch 
android support 	line isnull orig 
content 	name side 
context compat 	len name another 
android support 	line patch 
widget 	orig line patch 
toolbar android 	orig line 
view view 	patch line 
bumptech 	patch line patch 
glide glide 	line patch 
bumptech 	line patch line 
glide load 	patch line 
engine disk 	patch line patch 
cache 	line patch 
strategy xiecc 	val line patch 
see weather 	val line 
xiecc 	patch ptr eol 
see weather 	len line 
activity xiecc 	patch line llen 
see 	nslash line 
weather modules 	llen name second 
domain setting 	len line 
android 	len first line 
bundle android 	len size 
support 	patch offset 
content context 	str patch oplen 
compat android 	line ptr 
support 	line len offset 
widget toolbar 	expect digits 
android view 	line size fragment 
view 	ret len 
bumptech glide 	line len fragment 
glide bumptech 	offset line 
glide 	size hdrsize patch 
load engine 	offset len 
disk cache 	nextlen dummy git 
strategy 	hdr len 
xiecc see 	result line len 
weather 	linenr err 
xiecc see 	line len rule 
weather activity 	result line 
xiecc 	size patch fragment 
see weather 	added deleted 
modules domain 	offset oldlines 
setting 	newlines leading trailing 
create content 	line size 
view find 	patch offset context 
view 	fragp fragment 
title navigation 	len patch data 
icon resources 	size inflated 
drawable 	size stream buf 
support action 	status used 
bar 	llen used size 
navigation click 	buffer patch 
listener status 	method origlen data 
bar 	hunk size 
color background 	frag length max 
color color 	length newsize 
status 	buffer size patch 
bar color 	forward reverse 
fragment manager 	status used used 
begin 	name old 
transaction replace 	name limit 
fragment commit 	name include name 
created 	exclude pathname 
hugo AboutFragment.java 	pathlen buffer size 
introduction 	patch hdrsize 
current version 	patchsize offset git 
share star 	binary llen 
encourage 	used binhdr len 
blog github 	frag pluses 
email check 	minuses patch qname 
introduction 	max del 
version check 	total path buf 
version share 	preimage postimage 
star 	buf len postlen 
encounrage bolg 	ctx reduced 
github email 	old preimage len 
saved 	img preimage 
instance state 	postimage lno rule 
preference 	match beginning 
sharing intent 	match end 
uri intent 	buf buf orig 
view 	target len 
info manager 	postlen preimage limit 
clip data 	buf end 
clip 	imgoff preoff postlen 
data clipboard 	extra chars 
manager context 	preimage eof preimage 
dialog 	end prelen 
intent uri 	imglen oldlen tgtlen 
bundle dialog 	fixstart tgtfix 
preference 	match fixstart oldlen 
preference preference 	img preimage 
fragment 	postimage line rule 
snackbar alert 	match beginning 
dialog view 	match end backwards 
check 	forwards backwards 
version android 	lno forwards lno 
content clip 	lno img 
data 	img img 
android content 	applied pos preimage 
clipboard manager 	postimage count 
android 	insert count applied 
content context 	result preimage 
android content 	limit img frag 
dialog 	inaccurate eof 
android content 	rule nth fragment 
intent 	match beginning 
android net 	match end patch 
uri android 	size old 
bundle 	oldlines newlines blank 
android preference 	lines end 
dialog preference 	found blank lines 
android 	end hunk 
preference preference 	linenr leading trailing 
android preference 	pos applied 
preference 	pos preimage 
fragment android 	postimage first len 
support design 	plen added 
widget 	blank line blank 
snackbar android 	context start 
support 	offset img patch 
app alert 	fragment len 
dialog android 	dst img patch 
view 	name sha 
view xiecc 	size result img 
see weather 	patch frag 
xiecc 	name rule inaccurate 
see weather 	eof nth 
common check 	buf sha mode 
version 	result buf 
xiecc see 	name item patch 
weather common 	patch patch 
android 	item patch item 
content clip 	istate costate 
data 	patch gone 
android content 	previous buf name 
clipboard manager 	expected mode 
android 	image patch buf 
content context 	len img 
android content 	previous status image 
dialog 	path file 
android content 	file file result 
intent android 	status image 
net 	patch buf status 
uri android 	pos len 
bundle android 	img name mode 
preference 	image patch 
dialog preference 	pre sha post 
android 	sha sha 
preference preference 	buf len status 
android preference 	img tmp 
preference 	image patch image 
fragment android 	patch old 
support design 	name previous 
widget 	status mode pos 
